max_bins,interactions,learning_rate,max_rounds,min_samples_leaf,max_leaves,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
65535.0,16.0,100.0,25.0,1.0,100.0,-4619875.6518,-4621290.3053,-4608323.3635,319.7806,319.8138,319.5406,9.472213413668191e+17,9.468561624982664e+17,9.461903713740654e+17,1.9
1024.0,16.0,100.0,500.0,32.0,100000.0,-4329227.8027,-4335761.673,-4309887.7998,309.5581,309.7763,309.0207,9.483415091238351e+17,9.459953101533404e+17,9.458453931001295e+17,2.73
65535.0,2.0,100.0,25.0,1.0,100.0,-4619875.6518,-4621290.3053,-4608323.3635,319.7806,319.8138,319.5406,9.472213413668191e+17,9.468561624982664e+17,9.461903713740654e+17,1.39
1024.0,2.0,0.0001,25.0,1.0,100.0,-0.0176,-0.0175,-0.018,0.1501,0.1501,0.1502,5390635778061.455,5384775871060.399,5406388771639.912,1.46
65535.0,16.0,100.0,25.0,1.0,100000.0,-4619875.4007,-4621290.3238,-4608322.143,319.7806,319.8138,319.5406,9.472214392044257e+17,9.46856638640777e+17,9.461866168596136e+17,1.9
4.0,2.0,0.1,500.0,32.0,100000.0,0.0599,0.0687,0.0461,0.1442,0.1436,0.1454,108624072462083.1,108221440268795.78,108667723775967.83,2.0
65535.0,16.0,0.0001,25.0,1.0,100.0,-0.0133,-0.0131,-0.0139,0.1498,0.1497,0.1499,8464767773024.309,8449656830269.777,8484457724506.734,1.98
1024.0,2.0,0.1,500.0,32.0,100000.0,0.0787,0.0715,0.0488,0.1428,0.1434,0.1452,102510096832207.56,102722522585660.0,102969014931856.27,1.98
65535.0,16.0,100.0,500.0,1.0,100.0,-4619875.6518,-4621290.3053,-4608323.3635,319.7806,319.8138,319.5406,9.472213413668191e+17,9.468561624982664e+17,9.461903713740654e+17,2.72
4.0,16.0,0.0001,500.0,1.0,100.0,0.0267,0.029,0.0239,0.1468,0.1466,0.1471,52610206587107.1,52515026475637.81,52673363148407.695,10.05
65535.0,2.0,100.0,25.0,32.0,100000.0,-4329227.8027,-4335761.673,-4309887.7998,309.5581,309.7763,309.0207,9.483415091238351e+17,9.459953101533404e+17,9.458453931001295e+17,1.41
4.0,2.0,100.0,500.0,1.0,100000.0,-3591875.8955,-3591634.9258,-3588167.0061,281.9666,281.9432,281.9623,9.586148554342161e+17,9.58553681742897e+17,9.588836488001743e+17,1.81
4.0,2.0,0.0001,500.0,32.0,100000.0,-0.0042,-0.004,-0.0044,0.1491,0.1491,0.1492,30050347004414.016,30038308044208.54,30059415407104.86,4.31
1024.0,16.0,0.1,500.0,1.0,100.0,0.0871,0.0694,0.0489,0.1421,0.1435,0.1452,101399426166440.77,102190554210147.22,102075173850709.38,2.96
1024.0,8.0,0.1,100.0,8.0,10000.0,0.0862,0.0696,0.0474,0.1422,0.1435,0.1453,101273927594888.48,101847445551474.25,101762234051153.23,2.4
