learning_rate,n_estimators,subsample,max_features,ccp_alpha,max_depth,random_state,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time
0.0001,200.0,0.25,0.75,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99678853794927.88,99679086807586.31,99676481836557.77,19.27
100.0,50.0,0.75,0.25,0.1,100.0,19260817.0,-8.955927008778298e+194,-8.956809636111437e+194,-8.946952409122837e+194,4.45237923776122e+96,4.452379237761215e+96,4.452379237761221e+96,1.9597609427387933e+112,1.9597655239422254e+112,1.9597143082602213e+112,1.77
0.0001,50.0,0.75,0.75,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684984609481.9,99685217636471.95,99682612505222.92,15.52
100.0,50.0,0.75,0.25,0.0,5.0,19260817.0,-8.776165483399011e+196,-8.72067619198937e+196,-8.739918446554352e+196,4.4074691184946156e+97,4.3932969343046936e+97,4.4005633291281516e+97,1.4571111899153013e+113,1.4465927710604665e+113,1.455160768156205e+113,2.25
0.0001,200.0,0.75,0.25,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684462336956.22,99684695362725.4,99682090245125.22,22.25
100.0,50.0,0.25,0.75,0.1,100.0,19260817.0,-1.3537781716588915e+195,-1.353911589630716e+195,-1.3524215709294484e+195,5.474073568806864e+96,5.474073568806864e+96,5.474073568806864e+96,2.4094703090073494e+112,2.4094759414666003e+112,2.4094129732430484e+112,2.14
0.1,50.0,0.75,0.25,0.0,5.0,19260817.0,0.2268,0.0979,0.1038,0.1308,0.1413,0.1409,85165634599621.95,92596395994416.23,91364873256277.23,2.26
0.1,50.0,0.75,0.75,100.0,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,100367850150931.64,100368084774211.28,100365461797201.72,15.49
0.1,200.0,0.75,0.25,0.1,100.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99889846706386.23,99890080212268.84,99887469727228.05,23.37
0.0001,50.0,0.75,0.75,100.0,5.0,19260817.0,-0.0,-0.0,-0.0,0.1488,0.1488,0.1489,99684984609481.9,99685217636471.95,99682612505222.92,6.61
0.1,50.0,0.25,0.25,0.0,5.0,19260817.0,0.209,0.0895,0.0715,0.1323,0.142,0.1434,87491837898149.7,94047812488268.84,92484989805648.48,1.0
0.0001,50.0,0.25,0.75,0.0,100.0,19260817.0,0.0033,0.0012,0.0011,0.1485,0.1487,0.1488,99602793677098.2,99726885440868.8,99727290897355.88,10.43
